area_m2,bedrooms,frontage,price_million_vnd,province,district,distance_to_center_km,log_area,area_sq,log_distance,area_dist_inter
11.0,13.0,0,12000.0,Hồ Chí Minh,Tân Bình,5.89,2.4849066497880004,121.0,1.9300710850255671,64.78999999999999
40.0,8.0,0,15800.0,Hà Nội,Tây Hồ,5.66,3.713572066704308,1600.0,1.8961194845522977,226.4
36.0,3.0,0,7990.0,Hà Nội,Tây Hồ,5.66,3.6109179126442243,1296.0,1.8961194845522977,203.76
95.0,4.0,1,10800.0,Hồ Chí Minh,Thủ Đức,9.91,4.564348191467836,9025.0,2.3896797998449792,941.45
36.0,3.0,1,7900.0,Hà Nội,Ba Đình,3.18,3.6109179126442243,1296.0,1.430311246536665,114.48
52.0,4.0,0,21200.0,Hà Nội,Hoàng Mai,5.66,3.970291913552122,2704.0,1.8961194845522977,294.32
26.0,3.0,0,11400.0,Hà Nội,Đống Đa,3.27,3.295836866004329,676.0,1.451613827240533,85.02
80.0,3.0,1,7200.0,Bình Dương,Dĩ An,,4.394449154672439,6400.0,1.9300710850255671,471.2
35.0,,0,8000.0,Hà Nội,Long Biên,4.08,3.58351893845611,1225.0,1.6253112615903906,142.8
60.0,3.0,0,9000.0,Hà Nội,Long Biên,4.08,4.110873864173311,3600.0,1.6253112615903906,244.8
45.0,3.0,1,16300.0,Hà Nội,Long Biên,4.08,3.828641396489095,2025.0,1.6253112615903906,183.6
60.0,4.0,0,22000.0,Hà Nội,Nam Từ Liêm,9.46,4.110873864173311,3600.0,2.347558458636777,567.6
50.0,4.0,0,13200.0,Hà Nội,Long Biên,4.08,3.9318256327243257,2500.0,1.6253112615903906,204.0
5.0,,0,17000.0,Hà Nội,Hoàng Mai,5.66,1.791759469228055,25.0,1.8961194845522977,28.3
20.0,2.0,0,3650.0,Hà Nội,Ba Đình,3.18,3.044522437723423,400.0,1.430311246536665,63.6
54.0,4.0,0,7100.0,Hồ Chí Minh,Thủ Đức,9.91,4.007333185232471,2916.0,2.3896797998449792,535.14
40.0,4.0,0,8480.0,Hồ Chí Minh,Quận 10,3.65,3.713572066704308,1600.0,1.536867219599265,146.0
41.0,2.0,1,3600.0,Đà Nẵng,Cẩm Lệ,,3.7376696182833684,1681.0,1.9300710850255671,241.48999999999998
65.0,3.0,0,5700.0,Hồ Chí Minh,Thủ Đức,9.91,4.189654742026425,4225.0,2.3896797998449792,644.15
111.0,14.0,0,38000.0,Hà Nội,Đống Đa,3.27,4.718498871295094,12321.0,1.451613827240533,362.97
31.0,3.0,0,8200.0,Hà Nội,Hai Bà Trưng,2.31,3.4657359027997265,961.0,1.1969481893889715,71.61
100.0,4.0,0,6850.0,Hồ Chí Minh,Thủ Đức,9.91,4.61512051684126,10000.0,2.3896797998449792,991.0
122.0,5.0,1,13000.0,Khánh Hòa,Nha Trang,,4.812184355372417,14884.0,1.9300710850255671,718.5799999999999
44.0,4.0,0,3480.0,Hải Phòng,Hải An,,3.8066624897703196,1936.0,1.9300710850255671,259.15999999999997
68.0,,0,6980.0,Hồ Chí Minh,Tân Phú,8.06,4.23410650459726,4624.0,2.203869120054888,548.08
92.0,4.0,0,6450.0,Hồ Chí Minh,Quận 9,,4.532599493153256,8464.0,1.9300710850255671,541.88
140.0,8.0,0,13300.0,Hồ Chí Minh,Bình Chánh,15.37,4.948759890378168,19600.0,2.7954503913830435,2151.7999999999997
119.0,3.0,0,4000.0,Khánh Hòa,Nha Trang,,4.787491742782046,14161.0,1.9300710850255671,700.91
86.0,5.0,1,22990.0,Hồ Chí Minh,Tân Bình,5.89,4.465908118654584,7396.0,1.9300710850255671,506.53999999999996
